name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
AF7	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
AF3	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
F1	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
F3	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
F5	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
F7	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
FT7	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
FC5	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
FC3	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
FC1	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
C1	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
C3	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
C5	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
T7	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
TP7	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
CP5	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
CP3	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
CP1	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
P1	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
P3	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
P5	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
P7	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
P9	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
PO7	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
PO3	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
O1	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
Iz	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
Oz	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
POz	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
Pz	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
CPz	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
Fpz	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
Fp2	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
AF8	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
AF4	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
AFz	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
Fz	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
F2	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
F4	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
F6	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
F8	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
FT8	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
FC6	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
FC4	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
FC2	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
FCz	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
Cz	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
C2	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
C4	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
C6	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
T8	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
TP8	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
CP6	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
CP4	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
CP2	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
P2	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
P4	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
P6	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
P8	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
P10	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
PO8	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
PO4	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
O2	EEG	V	0.0	1024.0	ElectroEncephaloGram	2048.0	good	
Status	TRIG	V	0.0	1024.0	Trigger	2048.0	good	
